"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.023528310E-1,-6.617188454E-3,1.755475998E-3,-1.309204102E-2,1.477397770E-2
6.074277270E-1,-8.994758129E-3,1.366406679E-2,1.314258575E-2,2.098427877E-2
6.124877790E-1,7.742226124E-3,-1.499167085E-2,-8.344650269E-3,1.882353442E-2
6.175664250E-1,-4.103302956E-3,2.075940371E-2,8.343696594E-3,2.274658678E-2
6.225972580E-1,-1.589828730E-2,6.334364414E-3,-1.227378845E-3,1.715768546E-2
6.276930910E-1,3.276228905E-3,8.657664061E-3,5.904197693E-3,1.097945232E-2
6.327488730E-1,-1.808616519E-2,1.461118460E-3,3.197097778E-2,3.676122494E-2
6.378160080E-1,2.707308531E-2,2.994948626E-2,3.169727325E-2,5.132875224E-2
6.428809560E-1,-2.077397704E-2,2.969631553E-2,-6.119060516E-2,7.111764506E-2
6.479446540E-1,-3.986388445E-3,1.524716616E-2,-4.166412354E-2,4.454510701E-2
6.530149660E-1,-8.666157722E-3,1.037043333E-2,1.331806183E-2,1.897416528E-2
6.580813730E-1,5.589306355E-3,-1.589709520E-2,-5.795478821E-3,1.781980797E-2
6.631634040E-1,3.099828959E-3,-3.936231136E-3,-1.762390137E-2,1.832224753E-2
6.682378310E-1,-8.769243956E-3,5.651414394E-3,1.578140259E-2,1.891800179E-2
6.732974140E-1,1.266610622E-2,5.708813667E-3,3.703594208E-2,3.955605903E-2
6.783515810E-1,7.796764374E-3,-2.284017205E-2,2.247428894E-2,3.297812392E-2
6.834192890E-1,-1.366323233E-2,1.055854559E-2,3.653907776E-2,4.041374774E-2
6.884869450E-1,5.387753248E-3,2.705016732E-2,3.623580933E-2,4.553870129E-2
6.935461120E-1,5.275785923E-3,1.964908838E-2,1.455497742E-2,2.501535446E-2
6.986028830E-1,-1.611122489E-2,9.882271290E-3,2.549171448E-3,1.907168394E-2
7.036755390E-1,3.118664026E-3,-6.771773100E-3,-1.885223389E-2,2.027288087E-2
7.087416850E-1,-6.370276213E-3,-4.282772541E-3,5.060195923E-3,9.193918775E-3
7.138060080E-1,1.742786169E-2,2.426657081E-2,-4.961872101E-2,5.791903225E-2
7.188606430E-1,5.394607782E-3,2.174791694E-2,1.731300354E-2,2.831631642E-2
7.239297060E-1,-4.165261984E-3,-9.258240461E-3,2.904891968E-2,3.077180785E-2
7.291271020E-1,5.358487368E-3,2.728998661E-4,1.692771912E-2,1.775768948E-2
7.340635600E-1,-4.253745079E-3,1.210042834E-2,2.628898621E-2,2.925107706E-2
7.391268410E-1,1.007172465E-2,-9.429335594E-3,1.656436920E-2,2.155760502E-2
7.441932480E-1,1.947477460E-2,-1.409897208E-2,1.880264282E-2,3.052191404E-2
7.494170500E-1,-2.080500126E-3,1.697242260E-4,-2.649402618E-2,2.657613047E-2
7.543424660E-1,7.424265146E-3,-1.170659065E-2,9.361267090E-3,1.672714259E-2
7.593945500E-1,-4.429131746E-3,5.020380020E-3,-7.349014282E-3,9.941299437E-3
7.644578310E-1,-4.407376051E-3,2.605885267E-3,2.834606171E-2,2.880477072E-2
7.695117370E-1,-6.813198328E-3,-1.641726494E-2,-9.896278381E-3,2.034410444E-2
7.745681950E-1,2.178680897E-2,7.529646158E-3,2.106857300E-2,3.122891904E-2
7.796655390E-1,-2.349293232E-2,-1.148220897E-2,3.752231598E-2,4.573492307E-2
7.847247060E-1,-6.737887859E-3,-9.010314941E-3,-7.922172546E-3,1.376029527E-2
7.898024660E-1,1.225519180E-2,-4.181295633E-3,4.024505615E-3,1.355985268E-2
7.948580390E-1,2.406755090E-2,-2.784711123E-2,1.824569702E-2,4.108058020E-2
7.999260600E-1,-9.403318167E-3,-1.578429341E-2,1.571655273E-2,2.417801359E-2
8.049914770E-1,-2.834203839E-2,3.356605768E-3,2.271270752E-2,3.647471762E-2
8.100630910E-1,-9.166359901E-3,8.136808872E-3,8.275985718E-3,1.478924447E-2
8.151276230E-1,1.227951050E-2,-1.425921917E-3,4.621696472E-2,4.784169165E-2
8.202049660E-1,7.361203432E-3,-1.461088657E-3,5.448341370E-3,9.273970008E-3
8.252588200E-1,-4.640012980E-3,1.761448383E-2,-1.359558105E-2,2.272970711E-2
8.303272580E-1,-9.414792061E-3,1.990246773E-2,1.265430450E-2,2.539444730E-2
8.353886120E-1,2.578139305E-3,-1.588404179E-3,1.730155945E-2,1.756456061E-2
8.404535080E-1,-1.635882258E-2,4.604241252E-2,-4.221916199E-3,4.904425964E-2
8.455264770E-1,2.771437168E-3,2.666166425E-2,-6.561279297E-3,2.759665904E-2
8.505834560E-1,1.223534346E-2,1.926380396E-2,3.625106812E-2,4.283617294E-2
8.556667370E-1,2.613574266E-3,7.017523050E-3,5.256938934E-2,5.310006682E-2
8.607302790E-1,2.158331871E-2,-2.634540200E-2,1.887226105E-2,3.893689883E-2
8.657839250E-1,1.426410675E-2,1.669073105E-2,-9.788513184E-3,2.403872365E-2
8.708464250E-1,-7.252186537E-3,9.477645159E-3,2.355289459E-2,2.640376509E-2
8.759198620E-1,-3.066658974E-5,-7.333606482E-3,-1.703453064E-2,1.854610360E-2
8.809784560E-1,-2.380332351E-2,-9.647369385E-3,2.586841583E-2,3.645332473E-2
8.860555390E-1,-4.717707634E-3,4.743427038E-3,5.179119110E-2,5.222149309E-2
8.911156950E-1,1.431313157E-2,-4.211068153E-5,5.136013031E-2,5.331726263E-2
8.961766330E-1,-1.907882094E-2,-1.186463237E-2,1.767730713E-2,2.858772634E-2
9.012378830E-1,-1.417911053E-2,1.711249352E-4,9.040832520E-4,1.420893471E-2
9.063037680E-1,1.794993877E-4,-9.379416704E-3,1.277256012E-2,1.584752251E-2
9.113777270E-1,-9.341746569E-3,-2.121895552E-3,-1.585006714E-3,9.709939030E-3
9.164402270E-1,9.779602289E-3,-2.105149627E-2,8.049011230E-4,2.322614867E-2
9.215066330E-1,1.443400979E-2,-4.140406847E-3,-1.582527161E-2,2.181565559E-2
9.265725180E-1,2.606979012E-2,1.025196910E-2,4.608154297E-2,5.392815063E-2
9.316384040E-1,1.148012280E-2,3.042757511E-3,4.332637787E-2,4.492467710E-2
9.367061120E-1,-2.663689852E-2,5.345940590E-3,-1.880073547E-2,3.303893306E-2
