"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)",vx
17.89292187,-5.110136986,0.3633332253,3.00723362,5.94045159,-1.9718219234443914
17.89798604,-5.087095261,0.3670434952,3.131859779,5.985131978,-1.99764218225854
17.9030539,-5.077997684,0.3762068748,3.192272186,6.009841413,-2.023399816224666
17.90811843,-4.991447449,0.3931765556,3.133540154,5.906624191,-2.048898319704375
17.9131827,-4.942033768,0.4039132595,2.989245415,5.789855942,-2.0740512351657925
17.91824526,-5.001580238,0.3754019737,2.78809166,5.738482955,-2.099221306426895
17.92331322,-5.084600449,0.2790694237,2.582730293,5.709775585,-2.1247794865641474
17.92837807,-5.177630424,0.1723773479,2.36595726,5.695201886,-2.150767816582705
17.933445,-5.353503227,0.06733417511,2.178405762,5.780136881,-2.1774480750978262
17.93851083,-5.613274097,-0.05491685867,1.960109711,5.945913894,-2.2052259898834428
17.9436076,-5.88091898,-0.2395787239,1.816293716,6.159669543,-2.234517619107982
17.94865994,-6.101861,-0.4168112278,1.828103065,6.383447351,-2.264788158410052
17.95373416,-6.305019379,-0.4643883705,1.949826241,6.615946515,-2.296265778688422
17.9587977,-6.500451088,-0.4616730213,2.214853287,6.882919541,-2.3286862846526706
17.96386411,-6.635202408,-0.4858282804,2.486775398,7.102534195,-2.3619615877669906
17.96892927,-6.660893917,-0.510854125,2.760911942,7.228493236,-2.3956350153977652
17.97397041,-6.728190899,-0.5254743099,3.030257225,7.39777905,-2.4293831409124267
17.97903078,-6.854132175,-0.6003060341,3.319019318,7.639069606,-2.463748931019408
17.98410317,-6.98052454,-0.7214696407,3.490983009,7.838061219,-2.498836318206723
17.98917265,-7.116057873,-0.8553516865,3.431500435,7.946389205,-2.534567489512247
17.99422427,-7.296348572,-0.9944145679,3.298717499,8.068897072,-2.5709704898350907
17.99929041,-7.56200695,-1.183907509,3.066379547,8.245499963,-2.6086077444572053
18.00435708,-7.877086163,-1.422988176,2.830140114,8.490175194,-2.6477201394086114
18.0094463,-8.184699059,-1.66103673,2.690400124,8.774200506,-2.688591118702382
18.0144888,-8.482467651,-1.887701511,2.675563812,9.092541788,-2.730613212769955
18.01955442,-8.849957466,-2.127180576,2.63718605,9.476359777,-2.7745129524305425
18.02462187,-9.148679733,-2.376979589,2.639868736,9.814136731,-2.8201165494675977
18.02969093,-9.527198792,-2.663561106,2.757774353,10.26973193,-2.867451123865569
18.03475317,-9.866128922,-2.934752464,3.033957481,10.73117747,-2.9165379635090027
18.0398201,-10.16829967,-3.19575572,3.18601799,11.12465206,-2.967294487141851
18.04488515,-10.36429691,-3.396947861,3.178423882,11.36047022,-3.0192938012956043
18.04999015,-10.65161228,-3.63002491,3.15032959,11.68582481,-3.072936909503083
18.05505234,-11.05178738,-3.903940678,3.271518707,12.16904235,-3.1278702758655137
18.0600952,-11.39660645,-4.283342361,3.415111542,12.64486643,-3.1844723295202866
18.06516354,-11.61367035,-4.660932064,3.559782982,13.01052196,-3.2427842826785556
18.07025354,-11.73062134,-4.972011566,3.554889679,13.22745692,-3.3021955050295957
18.07529541,-11.84708023,-5.217797279,3.448178291,13.39659106,-3.3616333581369573
18.08036229,-12.00598145,-5.415338039,3.373867035,13.59604558,-3.4220636587195497
18.08543052,-12.17001152,-5.650015831,3.305427551,13.8187449,-3.4833284051447104
18.09049552,-12.2853775,-5.921072483,3.257030487,14.02133543,-3.545261677837883
18.09556052,-12.39455509,-6.110888958,3.178315163,14.17990293,-3.6077636071220374
18.10062666,-12.45881081,-6.333953857,3.04046917,14.30333496,-3.6707189226823536
18.105695,-12.50915051,-6.547181129,2.908164978,14.41533387,-3.733991981220672
18.11079026,-12.42402363,-6.794121265,2.82222271,14.43888458,-3.797512483654972
18.11582541,-12.13484192,-7.121348381,2.774950981,14.34114166,-3.8593412695919844
18.12089052,-11.87222958,-7.367409706,2.627998352,14.21741665,-3.920140498554671
18.12596197,-11.65591049,-7.541740417,2.450778961,14.09767411,-3.9798013915336607
18.13101385,-11.41914368,-7.675052166,2.302964211,13.95015814,-4.038087593863829
18.13611203,-11.20750141,-7.880414963,2.215844154,13.87872448,-4.095764948596308
18.14117739,-11.15719318,-8.175901413,2.150696754,13.99835062,-4.152407563290506
18.14624302,-11.24951649,-8.597838402,1.916286469,14.28798797,-4.209159613643335
18.15128156,-11.49023151,-9.147792816,1.744576454,14.79023599,-4.266447178587307
18.15637947,-11.87797928,-9.718839645,1.614260674,15.43204696,-4.3260116963215305
18.16144328,-12.36396599,-10.28332138,1.577279091,16.15865597,-4.387389998760362
18.16647213,-12.79841614,-10.86534882,1.568906784,16.86169413,-4.4506589214475705
18.17157447,-12.99844551,-11.40188313,1.678231239,17.37178703,-4.516471100983208
18.17660364,-12.95488167,-12.00856209,1.846949577,17.76079236,-4.581732948210131
18.18167447,-12.82122326,-12.62450027,1.987085342,18.10276999,-4.647086071291241
18.18673802,-12.59031963,-13.25159645,1.942966461,18.38194972,-4.71142238029156
18.19181463,-12.21961594,-13.84416008,1.891774178,18.5622895,-4.774397563798565
18.19687479,-11.71131134,-14.43673134,2.031492233,18.70029373,-4.834944724291139
18.2019451,-11.04867649,-14.9932003,2.261312485,18.76120576,-4.892644821238311
18.20700552,-10.1002779,-15.44901848,2.566793442,18.63534851,-4.946156117125428
18.21206697,-8.979618073,-15.81700706,3.017601013,18.43684271,-4.994442086861693
18.21713312,-7.888206005,-16.15807152,3.37485981,18.29471913,-5.037169550338082
18.22220057,-6.772949696,-16.52286148,3.78973484,18.25485933,-5.074316887066588
18.22727947,-5.683576107,-16.86633301,4.107006073,18.26591704,-5.105949611517022
