"t (s)","a (m/s²)"
1.385090172E0,3.062963486E-3
1.390156265E0,1.730933785E-2
1.395211838E0,-8.947193623E-3
1.400301942E0,-6.533473730E-3
1.405361317E0,-1.601731777E-2
1.410428765E0,7.838129997E-3
1.415493297E0,6.676614285E-4
1.420535536E0,-4.920279980E-2
1.425619859E0,1.062750816E-3
1.430676422E0,1.289823651E-2
1.435707047E0,-1.336780190E-2
1.440761578E0,-1.566803455E-2
1.445823297E0,2.000740170E-2
1.450895120E0,-1.517683268E-3
1.455960745E0,1.509311795E-2
1.461063349E0,6.832778454E-4
1.466132047E0,2.439951897E-2
1.471165692E0,-1.136654615E-2
1.476246995E0,5.427896976E-3
1.481291213E0,2.203279734E-2
1.486356578E0,2.762198448E-3
1.491425588E0,-9.171932936E-3
1.496492828E0,-6.692945957E-3
1.501688192E0,1.940891147E-2
1.506680901E0,1.208487153E-2
1.511745380E0,-1.174974442E-2
1.516815276E0,-2.128213644E-3
1.521884390E0,-2.146691084E-3
1.526971890E0,-4.485547543E-3
1.532012047E0,-6.750553846E-3
1.537079234E0,1.238355041E-2
1.542143192E0,1.943123341E-2
1.547236786E0,-2.352112532E-2
1.552274703E0,1.950490475E-2
1.557343713E0,-6.767094135E-3
1.562409026E0,3.602117300E-2
1.567492463E0,9.562164545E-3
1.572557620E0,-2.327263355E-3
1.577604026E0,1.909333467E-2
1.582689442E0,9.456455708E-3
1.587761630E0,9.497851133E-3
1.592832463E0,1.191720366E-2
1.597869911E0,4.709839821E-3
1.602916995E0,1.889333129E-2
1.607998817E0,3.079184890E-2
1.613087828E0,1.402992010E-2
1.618086265E0,-1.462641358E-2
1.623150901E0,-1.443654299E-2
1.628218192E0,1.415678859E-2
1.633282828E0,-1.449826360E-2
1.638348713E0,3.077921271E-2
1.643415328E0,-3.350377083E-4
1.648481161E0,1.874560118E-2
1.653558036E0,4.407078028E-3
1.658618505E0,-9.757339954E-3
1.663694234E0,-2.525150776E-3
1.668757828E0,1.884233952E-2
1.673816422E0,-1.698109508E-2
1.678905224E0,-1.449203491E-2
1.684074182E0,6.977349520E-3
1.689070432E0,2.124223113E-2
1.694135692E0,4.562050104E-3
1.699200901E0,-4.956632853E-3
1.704269651E0,-9.699821472E-3
1.709336526E0,2.360507846E-2
1.714400120E0,-2.649039030E-3
1.719474130E0,-4.923254251E-3
1.724553974E0,6.640261412E-2
1.729599963E0,2.547818422E-2
1.734664547E0,1.821556687E-2
1.739734338E0,8.580356836E-3
1.744798088E0,1.322373748E-2
1.749881370E0,1.303055882E-2
1.754960015E0,1.299852133E-2
1.760027724E0,-6.043314934E-3
1.765073036E0,3.473132849E-3
1.770159234E0,-1.554134488E-2
1.775188609E0,-1.782053709E-2
1.780241005E0,3.775566816E-3
1.785309703E0,1.439392567E-3
1.790377932E0,-2.943870425E-2
1.795413088E0,-2.199643850E-2
1.800476630E0,4.289954901E-3
1.805575328E0,-5.223512650E-3
1.810606630E0,1.967936754E-3
1.815671422E0,-5.101561546E-3
1.820737620E0,-1.691526175E-2
1.825806109E0,-2.382731438E-2
1.830871422E0,-1.648622751E-2
1.835975015E0,-6.827890873E-3
1.841011838E0,-4.374116659E-3
1.846072776E0,4.066008329E-2
1.851150536E0,3.073060513E-2
1.856212047E0,-3.367662430E-4
1.861293974E0,-7.496893406E-3
1.866466942E0,-1.211607456E-2
1.871479859E0,2.310901880E-3
1.876551161E0,-1.145899296E-4
1.881594963E0,9.458988905E-3
1.886656630E0,-1.213717461E-2
1.891721578E0,1.411911845E-2
1.896785640E0,-1.680976152E-2
1.901877567E0,-1.195219159E-2
1.906942776E0,4.696220160E-3
1.911988817E0,6.953001022E-3
1.917053922E0,4.540979862E-3
1.922150120E0,-1.205164194E-2
1.927223505E0,-5.760788918E-5
1.932264390E0,-9.590387344E-5
1.937348609E0,2.367621660E-2
1.942401474E0,1.399540901E-2
1.947472307E0,4.392534494E-3
1.952534599E0,-5.127519369E-3
1.957562932E0,1.388913393E-2
1.962628557E0,-7.582217455E-3
1.967704338E0,1.952409744E-3
1.972789703E0,-1.002737880E-2
1.977833192E0,4.276096821E-3
1.982899547E0,-7.719933987E-3
1.987931265E0,-5.076527596E-4
1.993031995E0,2.812954783E-2
1.998098453E0,2.084207535E-2
2.003128140E0,6.482660770E-3
2.008194807E0,3.257265687E-2
2.013260120E0,-9.404122829E-4
2.018332880E0,-8.095413446E-3
2.023403140E0,-1.993352175E-2
2.028471109E0,-2.455189824E-2
2.033525797E0,-1.472255588E-2
2.038613349E0,-2.170214057E-2
2.043793349E0,2.197086811E-3
2.048782463E0,1.645314693E-2
2.053864078E0,3.771737218E-2
2.058914078E0,-6.907582283E-4
2.063981422E0,1.659899950E-3
2.069048765E0,1.354521513E-2
2.074119911E0,1.582658291E-2
2.079182203E0,-1.279032230E-2
2.084244963E0,-1.984375715E-2
2.089313870E0,-1.020964980E-2
2.094381213E0,-2.916508913E-2
2.099446474E0,4.409044981E-3
2.104517411E0,2.339807153E-2
2.109578557E0,1.896768808E-3
2.114640380E0,-2.848684788E-3
2.119726317E0,3.277736902E-2
2.124791942E0,1.119515300E-2
2.129863557E0,-1.738306880E-2
2.134904390E0,1.893937588E-3
2.139955484E0,-1.947474480E-2
2.145022672E0,1.628997922E-2
2.150089859E0,4.240304232E-3
2.155156526E0,1.372581720E-2
2.160206161E0,3.981566429E-2
2.165256526E0,2.525481582E-2
2.170323036E0,-2.006939054E-2
2.175384963E0,-8.057862520E-3
2.180449547E0,-1.034754515E-2
2.185516474E0,-7.953941822E-4
2.190589651E0,1.105266809E-2
2.195649547E0,1.810583472E-2
2.200714442E0,1.797363162E-2
2.205784234E0,8.340418339E-3
2.210849026E0,-8.339196444E-3
2.215916161E0,2.268585563E-2
2.221001422E0,-1.239776611E-3
2.226151213E0,-2.496868372E-2
2.231173974E0,-1.286718249E-2
2.236240640E0,-1.748955250E-2
2.241307567E0,8.803009987E-3
2.246374703E0,1.111826301E-2
2.251466682E0,8.823186159E-3
2.256506057E0,-4.101440310E-2
2.261577776E0,-7.445782423E-3
2.266642672E0,-1.216542721E-2
2.271695588E0,1.170441508E-2
2.276776682E0,1.162001491E-2
2.281834755E0,-9.895563126E-3
2.286917307E0,-1.697045565E-2
2.291973453E0,4.572212696E-3
2.297066682E0,-2.505481243E-4
2.302107828E0,1.159873605E-2
2.307467776E0,-1.466420293E-2
2.312215797E0,-9.865850210E-3
2.317277567E0,4.438936710E-3
2.322357047E0,1.625454426E-2
2.327423557E0,-7.669717073E-3
