"time","ax"
1.560789859E2,3.996013701E-1
1.560815175E2,3.948157430E-1
1.560840491E2,4.067798555E-1
1.560865806E2,3.972085714E-1
1.560891122E2,3.661018610E-1
1.560916438E2,3.661018610E-1
1.560941753E2,3.589234054E-1
1.560967069E2,3.852444589E-1
1.560992124E2,4.115654826E-1
1.561017439E2,3.852444589E-1
1.561042755E2,3.828516304E-1
1.561068070E2,3.948157430E-1
1.561093386E2,3.493520916E-1
1.561118702E2,3.565305769E-1
1.561144017E2,3.780659735E-1
1.561169333E2,3.804588020E-1
1.561194649E2,3.924229145E-1
1.561219965E2,4.091726840E-1
1.561245280E2,4.019941986E-1
1.561270595E2,4.283152521E-1
1.561295761E2,4.115654826E-1
1.561321077E2,3.828516304E-1
1.561346392E2,3.637090325E-1
1.561371708E2,3.637090325E-1
1.561397024E2,3.804588020E-1
1.561422339E2,3.948157430E-1
1.561447655E2,3.780659735E-1
1.561472970E2,3.708875179E-1
1.561498286E2,3.828516304E-1
1.561523602E2,3.684946895E-1
1.561548917E2,3.924229145E-1
1.561574233E2,4.357928336E-1
1.561599587E2,4.019941986E-1
1.561624902E2,3.661018610E-1
1.561650218E2,3.948157430E-1
1.561675533E2,4.283152521E-1
1.561700849E2,3.948157430E-1
1.561726165E2,4.019941986E-1
1.561751480E2,3.948157430E-1
1.561776796E2,4.235295951E-1
1.561802112E2,3.996013701E-1
1.561827427E2,3.924229145E-1
1.561852743E2,4.163511395E-1
1.561878058E2,3.876372576E-1
1.561903427E2,3.876372576E-1
1.561928743E2,3.948157430E-1
1.561954058E2,3.972085714E-1
1.561979374E2,3.661018610E-1
1.562004690E2,3.613162339E-1
1.562030005E2,4.067798555E-1
1.562055321E2,4.163511395E-1
1.562080637E2,3.972085714E-1
1.562105952E2,3.948157430E-1
1.562131268E2,4.163511395E-1
1.562156583E2,4.019941986E-1
1.562181899E2,4.115654826E-1
1.562207232E2,3.780659735E-1
1.562232547E2,3.708875179E-1
1.562257863E2,3.732803464E-1
1.562283179E2,4.115654826E-1
1.562308494E2,3.613162339E-1
1.562333810E2,3.565305769E-1
1.562359126E2,4.307080805E-1
1.562384441E2,4.405784607E-1
1.562409757E2,3.613162339E-1
1.562435072E2,3.996013701E-1
1.562460388E2,4.307080805E-1
1.562485704E2,3.828516304E-1
1.562511380E2,4.139583111E-1
1.562536696E2,4.019941986E-1
1.562562011E2,3.804588020E-1
1.562587327E2,4.019941986E-1
1.562612643E2,3.708875179E-1
1.562637958E2,3.661018610E-1
1.562663274E2,3.780659735E-1
1.562688590E2,3.589234054E-1
1.562713905E2,3.589234054E-1
1.562739221E2,3.684946895E-1
1.562764537E2,4.043870270E-1
1.562789852E2,3.972085714E-1
1.562815315E2,4.163511395E-1
1.562840631E2,4.163511395E-1
1.562865946E2,3.876372576E-1
1.562891263E2,3.852444589E-1
1.562916578E2,3.900300860E-1
1.562941894E2,3.804588020E-1
1.562967209E2,3.924229145E-1
1.562992525E2,4.043870270E-1
1.563017841E2,4.115654826E-1
1.563043156E2,4.115654826E-1
1.563068472E2,3.756731451E-1
1.563093788E2,4.139583111E-1
1.563118684E2,4.283152521E-1
1.563144000E2,3.708875179E-1
1.563169316E2,3.900300860E-1
1.563194631E2,4.115654826E-1
1.563219947E2,3.684946895E-1
1.563245263E2,4.283152521E-1
1.563270578E2,4.019941986E-1
1.563295894E2,3.972085714E-1
1.563321209E2,3.828516304E-1
1.563346525E2,3.756731451E-1
1.563371841E2,4.019941986E-1
1.563397156E2,3.708875179E-1
1.563422497E2,3.445664644E-1
1.563447813E2,3.828516304E-1
1.563473128E2,4.067798555E-1
1.563498444E2,3.804588020E-1
1.563523759E2,4.139583111E-1
1.563549075E2,3.589234054E-1
1.563574391E2,3.708875179E-1
1.563599706E2,4.163511395E-1
1.563625022E2,4.307080805E-1
1.563650338E2,4.163511395E-1
1.563675653E2,3.996013701E-1
1.563700969E2,4.139583111E-1
1.563726362E2,4.211367965E-1
1.563751677E2,4.139583111E-1
1.563776992E2,3.780659735E-1
1.563802308E2,3.828516304E-1
1.563827624E2,3.661018610E-1
1.563852940E2,3.852444589E-1
1.563878255E2,3.924229145E-1
1.563903571E2,3.852444589E-1
1.563928887E2,3.828516304E-1
1.563954202E2,4.381856322E-1
1.563979518E2,3.996013701E-1
1.564004833E2,3.732803464E-1
1.564030265E2,3.756731451E-1
1.564055580E2,3.684946895E-1
1.564080896E2,3.972085714E-1
1.564106212E2,4.043870270E-1
1.564131528E2,3.972085714E-1
1.564156843E2,3.684946895E-1
1.564182159E2,4.211367965E-1
1.564207475E2,4.307080805E-1
1.564232790E2,3.780659735E-1
1.564258106E2,3.541377485E-1
1.564283421E2,3.828516304E-1
