time,ax,ay,az,am,gx,gy,gz,gm,velx,distx,button
1649246853.5869217,0.0889892578125,-0.25048828125,0.9071044921875,0.9452523614338877,-7.568359375,1.89208984375,-172.9736328125,167.225167674766,0.8344132235215511,-1.6115897962864492,1
1649246853.5917945,0.0889892578125,-0.25048828125,0.9071044921875,0.9452523614338877,-7.568359375,6.8359375,-166.259765625,172.42406794437298,0.8348482505825814,-1.6075096750953015,1
1649246853.596691,0.04962158203125,-0.25030517578125,0.93475341796875,0.968957653785978,-13.0615234375,7.50732421875,-175.96435546875,179.85258604361348,0.835185548865411,-1.6034457827369828,1
1649246853.6015499,0.04962158203125,-0.25030517578125,0.93475341796875,0.968957653785978,-14.0380859375,17.9443359375,-177.6123046875,183.34689690707992,0.8354284687738982,-1.5993565801393423,1
1649246853.6064014,0.01666259765625,-0.26092529296875,0.974853515625,1.0093062110172037,-13.61083984375,14.34326171875,-175.84228515625,172.17182408266382,0.8355892839681474,-1.5953024446613457,1
1649246853.6112406,0.01666259765625,-0.26092529296875,0.974853515625,1.0093062110172037,-12.3291015625,19.1650390625,-166.07666015625,175.59731714970616,0.8356700642980286,-1.5912513091704938,1
1649246853.6160934,-0.08880615234375,-0.31219482421875,1.03326416015625,1.083045227876693,-11.77978515625,13.427734375,-173.52294921875,181.01645460008652,0.8354958952913876,-1.5872171344085206,1
1649246853.6209726,-0.08880615234375,-0.31219482421875,1.03326416015625,1.083045227876693,-7.2021484375,2.25830078125,-176.8798828125,174.74179761557173,0.8350616151365102,-1.5831324513363845,1
1649246853.6264637,-0.12066650390625,-0.28875732421875,1.0916748046875,1.1356474262042866,-6.8359375,7.01904296875,-184.50927734375,180.1998566873819,0.8345532537568943,-1.5790805252598612,1
1649246853.6324587,-0.12066650390625,-0.28875732421875,1.0916748046875,1.1356474262042866,0.1220703125,-3.2958984375,-189.5751953125,195.84546804032132,0.8338483523766627,-1.574207347713183,1
1649246853.6376743,-0.2047119140625,-0.284912109375,1.11602783203125,1.1698717877169345,13.427734375,-8.36181640625,-180.17578125,191.40385606786788,0.8329020383680472,-1.5693598558190573,1
1649246853.6440852,-0.2047119140625,-0.284912109375,1.11602783203125,1.1698717877169345,11.474609375,-23.25439453125,-199.03564453125,208.44681847659075,0.8318135418958263,-1.5649340336956437,1
1649246853.6495621,-0.32574462890625,-0.28765869140625,1.111083984375,1.1930484928691927,15.93017578125,-34.72900390625,-223.14453125,229.19470803332936,0.8300998639751924,-1.5595651032009652,1
